Date,Ticker,Trade Type,Shares Bought,Shares Sold,Price,RSI Value,Volume,Profit
2015-04-16,FIS,0,213.0,0,64.2249984741211,33.84148959354664,1749600,0
2015-04-16,NSC,0,122.0,0,100.22999954223633,31.611157420248446,2367700,0
2015-04-27,MSFT,9,0,308.0,47.67500114440918,80.30780967991991,59248200,2066.680305480957
2015-04-27,APH,0,494.0,0,28.0625,34.6884301340648,2404000,0
2015-05-13,WEC,0,0,272.0,47.244998931884766,32.05424208108052,1019300,-754.8004150390625
2015-05-13,FB,0,174.0,0,78.09000015258789,41.83799526621539,21512300,0
2015-05-19,XLNX,9,0,336.0,46.94000053405762,71.1781710850413,3241500,2730.0006408691406
2015-05-19,KSU,0,148.0,0,94.97000122070312,23.361901518742215,1613800,0
2015-06-05,UNP,9,0,120.0,102.17499923706055,41.04339799891065,5145300,-888.599853515625
2015-06-05,WEC,0,296.0,0,45.53999900817871,25.842058339176816,2268700,0
2015-06-11,BAC,9,0,817.0,17.5600004196167,68.27920870978132,77191500,1429.75
2015-06-11,VZ,0,287.0,0,47.70000076293945,33.8507339792435,10029700,0
2015-06-23,NSC,9,0,122.0,92.66999816894531,42.20350642167125,1546600,-922.3201675415039
2015-06-23,MU,0,506.0,0,24.619999885559082,32.35738091761719,16168900,0
2015-06-24,FB,9,0,174.0,88.3499984741211,75.42797160265113,41370200,1785.2397079467773
2015-06-24,ORCL,0,338.0,0,41.48500061035156,34.35860297549499,17768200,0
2015-07-08,INTC,0,0,423.0,29.40999984741211,29.36228966177427,45223800,-788.8953065872192
2015-07-08,MSFT,0,295.0,0,44.46500015258789,35.20125214526229,39785900,0
2015-07-16,A,9,0,353.0,40.279998779296875,53.67926489962497,1826300,788.9545421600342
2015-07-16,GM,0,439.0,0,30.755000114440918,24.78491752983267,35920700,0
2015-08-13,FIS,9,0,213.0,70.45499801635742,71.65769717888912,2395700,1326.989902496338
2015-08-13,DIS,0,128.0,0,107.63000106811523,31.876657085883764,9754500,0
2015-08-13,WEC,9,0,296.0,50.65500068664551,70.7670927577109,1921000,1514.0404968261719
2015-08-13,BMY,0,197.0,0,62.244998931884766,32.10669935102331,3686900,0
2015-08-24,APH,0,0,494.0,25.394999504089355,21.47880618829562,4417200,-1317.7452449798584
2015-08-24,AAPL,0,517.0,0,25.100000381469727,23.8649008463168,648825200,0
2015-08-25,KSU,0,0,148.0,89.28499984741211,28.280793410208602,2579900,-841.3802032470703
2015-08-25,AMZN,0,26.0,0,477.8450012207031,31.124565579745635,5679300,0
2015-08-25,VZ,0,0,287.0,44.6299991607666,22.42986992495989,27851500,-881.0904598236084
2015-08-25,FB,0,129.0,0,85.33499908447266,30.157423386599604,52021200,0
2015-08-28,MU,9,0,506.0,16.075000286102295,41.52637473952429,34099400,-4323.769797325134
2015-08-28,LIN,0,118.0,0,105.90999984741211,32.813141467612624,2824700,0
2015-08-31,ORCL,9,0,338.0,37.21999931335449,38.66972491719406,15352800,-1441.5704383850098
2015-08-31,INTU,0,154.0,0,85.20499801635742,28.87091783082893,3343900,0
2015-09-25,GM,9,0,439.0,29.53499984741211,42.616201859603315,13369400,-535.580117225647
2015-09-25,ABT,0,319.0,0,41.454999923706055,27.750837549584915,10025100,0
2015-10-23,DIS,9,0,128.0,113.02999877929688,74.78748570023754,7928400,691.19970703125
2015-10-23,WMT,0,241.0,0,58.75,25.908749122856406,13040600,0
2015-10-26,MSFT,9,0,295.0,53.40999984741211,84.18570012448899,64633300,2638.7749099731445
2015-10-26,HUM,0,87.0,0,169.23500061035156,37.0525541619724,1672100,0
2015-10-26,AMZN,9,0,26.0,603.0699768066406,72.11101984131818,4269700,3255.849365234375
2015-10-26,FB,9,0,129.0,102.68000030517578,73.62766740861028,25961200,2237.505157470703
2015-10-26,CMG,0,20.0,0,657.1549987792969,31.607986923684848,672000,0
2015-10-26,VFC,0,214.0,0,61.51129913330078,37.90003125706895,8088404,0
2015-11-05,INTU,9,0,154.0,98.45500183105469,63.586973554338066,1348900,2040.500587463379
2015-11-05,ENPH,0,6440.0,0,2.315000057220459,27.27919035546219,2498500,0
2015-12-17,ENPH,9,0,6440.0,3.4100000858306885,65.19613321402694,3035300,7051.800184249878
2015-12-17,JCI,0,485.0,0,33.27748680114746,22.56890777733213,3852470,0
2016-01-04,CMG,0,0,20.0,458.25,20.403448406761882,2690300,-3978.0999755859375
2016-01-04,NTAP,0,556.0,0,26.024999618530273,22.665965819879318,4495600,0
2016-01-05,VFC,9,0,214.0,57.5,39.023023278630205,2839045,-858.4180145263672
2016-01-05,GD,0,106.0,0,136.44000244140625,38.19828306377669,1525100,0
2016-01-07,LIN,0,0,118.0,98.83499908447266,25.536307125112756,2002700,-834.8500900268555
2016-01-07,AXP,0,225.0,0,63.665000915527344,25.37605265906444,11323900,0
2016-01-08,WMT,9,0,241.0,64.41000175476074,62.59259924142621,17767900,1364.0604228973389
2016-01-08,AMZN,0,24.0,0,615.0700073242188,32.20357779112062,5512900,0
2016-01-28,AAPL,9,0,517.0,23.363749504089355,35.229056857974285,222715200,-897.6417036056519
2016-01-28,MA,0,162.0,0,84.5,29.493884469251924,9169600,0
2016-01-29,ABT,9,0,319.0,37.27499961853027,33.77014457461681,16124300,-1333.4200973510742
2016-01-29,A,0,365.0,0,37.0,44.65125027211072,2959900,0
2016-01-29,HUM,9,0,87.0,160.78499603271484,39.5404744514766,1205900,-735.1503982543945
2016-01-29,V,0,172.0,0,71.63000106811523,51.809780804385895,40427800,0
2016-02-04,BMY,9,0,197.0,59.96999931335449,36.20556194490631,7987200,-448.17492485046387
2016-02-04,PFE,0,483.0,0,27.670777320861816,25.739840626695567,60009068,0
2016-03-08,NTAP,9,0,556.0,26.304999351501465,60.92700159823817,3069200,155.67985153198242
2016-03-08,NLOK,0,844.0,0,16.9950008392334,33.82388951907359,11165800,0
2016-03-18,AXP,9,0,225.0,60.739999771118164,70.18110211157473,8341300,-658.1252574920654
2016-03-18,AMZN,9,0,24.0,554.2100219726562,45.02410524652102,7296900,-1460.6396484375
2016-03-18,LLY,0,225.0,0,70.05500030517578,41.86514840337984,10131700,0
2016-04-07,PFE,9,0,483.0,31.11005687713623,70.87671710043062,64692412,1661.172025680542
2016-04-07,VRTS,0,219.0,0,67.59000015258789,25.00662014267664,160200,0
2016-04-14,V,9,0,172.0,79.98999786376953,72.18792213745903,11470300,1437.919448852539
2016-04-14,HRL,0,378.0,0,39.61000061035156,28.314860100100944,4452300,0
2016-04-19,MA,9,0,162.0,97.25500106811523,68.0689650856921,3635900,2066.310173034668
2016-04-19,STX,0,598.0,0,25.65000057220459,26.54049506343975,8957100,0
2016-04-22,JCI,9,0,485.0,40.95287895202637,73.50452763125591,3357398,3722.5651931762695
2016-04-22,WEC,0,281.0,0,56.38999938964844,38.27161705382124,1995500,0
2016-04-22,D,0,199.0,0,69.92499923706055,34.7868306304286,2552400,0
2016-04-28,GD,9,0,106.0,142.05999755859375,64.81341772038623,1783000,595.719482421875
2016-04-28,AAPL,0,646.0,0,24.016249656677246,22.76943312527024,328970800,0
2016-05-18,A,9,0,365.0,44.3650016784668,72.96802868855887,3476500,2688.225612640381
2016-05-18,ABT,0,410.0,0,37.795000076293945,30.877829561451833,10603000,0
2016-06-14,NLOK,9,0,844.0,18.484999656677246,77.01721447552251,21376600,1257.5590019226074
2016-06-14,CVS,0,163.0,0,96.06999969482422,38.302434172958556,4556200,0
2016-06-15,WEC,9,0,281.0,62.71500015258789,65.279183892677,1557100,1777.3252143859863
2016-06-15,HD,0,125.0,0,126.61999893188477,33.65330048906043,5140000,0
2016-06-21,HRL,9,0,378.0,34.829999923706055,43.31260960237677,3015600,-1806.840259552002
2016-06-21,GOOGL,0,22.0,0,710.0199890136719,36.75019236741417,1515900,0
2016-06-27,STX,9,0,598.0,21.920000076293945,36.13819712787165,6672700,-2230.5402965545654
2016-06-28,FB,0,123.0,0,111.6500015258789,43.557049084516535,26813800,0
2016-06-29,D,9,0,199.0,76.40999984741211,74.12252085006793,2847700,1290.515121459961
2016-06-29,ACN,0,124.0,0,111.45999908447266,36.194578896418456,3603000,0
2016-07-06,LLY,9,0,225.0,79.75,74.48293822391435,4669800,2181.374931335449
2016-07-06,DRI,0,257.0,0,62.05000114440918,33.16569654952728,2727500,0
2016-07-13,ABT,9,0,410.0,42.18499946594238,66.50871705252565,7920200,1799.8997497558594
2016-07-13,HUM,0,104.0,0,158.4000015258789,36.87847406924643,3056600,0
2016-07-29,AAPL,9,0,646.0,26.0287504196167,69.42567498161242,110934800,1300.0754928588867
2016-07-29,SYK,0,145.0,0,115.79500198364258,42.29984047359478,1453700,0
2016-07-29,GOOGL,9,0,22.0,796.9700012207031,79.09064678696024,5090500,1912.9002685546875
2016-07-29,FB,9,0,123.0,124.77499771118164,66.4062387846584,35058800,1614.3745307922363
2016-07-29,CLX,0,116.0,0,130.92499542236328,35.30168188715933,973200,0
2016-08-01,XOM,0,175.0,0,86.86999893188477,23.274102343064612,22908400,0
2016-08-03,VRTS,9,0,219.0,88.60499954223633,73.86216870616758,45300,4602.284866333008
2016-08-03,DIS,0,180.0,0,95.71500015258789,39.55294298391145,9068700,0
2016-09-15,CVS,0,0,163.0,89.15999984741211,31.016661464931744,7449200,-1126.3299751281738
2016-09-15,SYY,0,330.0,0,49.625,33.7885849716851,2954500,0
2016-09-30,ACN,9,0,124.0,122.40499877929688,74.16757040418804,4815800,1357.1799621582031
2016-09-30,NKE,0,317.0,0,52.670000076293945,33.688093372639756,12940200,0
2016-10-05,CLX,0,0,116.0,121.82500076293945,31.115402086875278,1396000,-1055.599380493164
2016-10-05,WEC,0,288.0,0,57.6200008392334,30.634428428962067,2929100,0
2016-10-14,DIS,9,0,180.0,91.52999877929688,36.932196135346466,4345700,-753.3002471923828
2016-10-14,ABBV,0,273.0,0,60.83500099182129,28.19219051449241,5606500,0
2016-10-28,SYK,9,0,145.0,114.27999877929688,50.32301335475788,3264800,-219.67546463012695
2016-10-28,A,0,381.0,0,43.489999771118164,30.490866957512267,1470500,0
2016-11-08,SYY,9,0,330.0,53.82500076293945,81.12727912440982,9650600,1386.0002517700195
2016-11-08,FB,0,137.0,0,123.07500076293945,41.547647553489,19460800,0
2016-11-10,DRI,9,0,257.0,69.25500106811523,75.77312826641725,2985600,1851.684980392456
2016-11-10,CVS,0,223.0,0,77.12999725341797,33.41384049584666,12664100,0
2016-11-11,HUM,9,0,104.0,194.2249984741211,74.93630278242581,3204300,3725.7996826171875
2016-11-11,AMZN,0,24.0,0,736.0800170898438,33.24236530970501,6622800,0
2016-12-07,HD,9,0,125.0,130.90499877929688,63.00597760906718,6987300,535.6249809265137
2016-12-07,MDT,0,241.0,0,71.67500305175781,29.982999971306796,7482100,0
2016-12-13,XOM,9,0,175.0,92.19499969482422,77.34508726598396,18829300,931.8751335144043
2016-12-13,SPGI,0,152.0,0,115.44000244140625,44.06531647379578,2242500,0
2017-01-12,A,9,0,381.0,48.44000053405762,63.514352090739834,3276900,1885.9502906799316
2017-01-12,LB,0,300.0,0,60.644948959350586,24.765255154555845,2292699,0
2017-01-17,FB,9,0,137.0,127.86999893188477,69.44695940127205,15294500,656.9147491455078
2017-01-17,VFC,0,370.0,0,49.1054630279541,38.48047199239908,4518810,0
2017-01-26,AMZN,9,0,24.0,838.4200134277344,73.8264976988387,3586300,2456.159912109375
2017-01-26,SYY,0,351.0,0,52.9950008392334,32.805645518731566,4063900,0
2017-01-26,SPGI,9,0,152.0,121.42499923706055,71.96585165157572,1495900,909.7195129394531
2017-01-26,VZ,0,340.0,0,48.989999771118164,28.223919542089376,37877100,0
2017-02-13,NKE,9,0,317.0,56.045000076293945,71.70073237010087,7679800,1069.875
2017-02-13,GILD,0,271.0,0,67.14500045776367,36.83541367695862,15885100,0
2017-02-21,MDT,9,0,241.0,80.3900032043457,78.73432687443905,7313100,2100.3150367736816
2017-02-21,ZTS,0,350.0,0,53.0,42.79430723033027,5931400,0
2017-03-09,ABBV,9,0,273.0,64.38500213623047,73.62417529646281,6957000,969.150312423706
2017-03-09,TGT,0,335.0,0,54.8799991607666,23.25051793814977,10878100,0
2017-03-22,LB,9,0,300.0,48.01499938964844,30.46316989002686,4995417,-3788.9848709106445
2017-03-22,GS,0,78.0,0,231.04000091552734,26.65638096026146,6291300,0
2017-03-30,VFC,9,0,370.0,51.600751876831055,53.95074453324397,6363079,923.2568740844727
2017-03-30,INTU,0,159.0,0,116.61000061035156,24.776842702975827,2093200,0
2017-04-04,WEC,9,0,288.0,60.64999961853027,57.06661610530998,1227400,872.6396484375
2017-04-04,MO,0,254.0,0,71.72999954223633,34.9650406750151,5218500,0
2017-04-26,CVS,9,0,223.0,81.75,70.76232284941221,5996900,1030.260612487793
2017-04-26,IBM,0,115.0,0,160.49500274658203,19.765238137223605,4327800,0
2017-04-27,ZTS,9,0,350.0,56.08500099182129,77.82126033929606,2986400,1079.7503471374512
2017-04-27,SLB,0,256.0,0,73.01499938964844,22.731842411659713,10844900,0
2017-05-01,VZ,0,0,340.0,46.01500129699707,27.87893987247911,14455200,-1011.4994812011719
2017-05-01,PSA,0,88.0,0,208.2699966430664,24.60968550014948,1152500,0
2017-05-05,SYY,9,0,351.0,55.02000045776367,75.89103034680281,4491600,710.774866104126
2017-05-05,VZ,0,404.0,0,46.364999771118164,40.73660192278013,17133000,0
2017-05-10,TGT,9,0,335.0,58.09000015258789,73.59287819746072,6954300,1075.3503322601318
2017-05-10,T,0,489.0,0,38.39000129699707,32.62799022434113,22608200,0
2017-05-25,INTU,9,0,159.0,137.1199951171875,82.22808214021441,3528800,3261.089126586914
2017-05-25,PFE,0,630.0,0,30.441176414489746,27.951319945434676,18227244,0
2017-05-26,MO,9,0,254.0,74.18500137329102,73.30005929497398,5681000,623.5704650878906
2017-05-26,ALXN,0,193.0,0,97.80995178222656,21.798073396663014,6660773,0
2017-06-01,GS,9,0,78.0,213.35999298095703,41.168974103948614,4057900,-1379.0406188964844
2017-06-01,JPM,0,226.0,0,82.3650016784668,36.738046958394854,17123500,0
2017-06-23,GILD,9,0,271.0,70.60499954223633,75.38360172637951,22911200,937.6597518920898
2017-06-23,SYY,0,386.0,0,50.76499938964844,20.218284051636815,11250300,0
2017-06-23,PFE,9,0,630.0,32.34819793701172,71.79710533823004,31668800,1201.4235591888428
2017-06-23,INTC,0,518.0,0,34.32499885559082,28.84514162358441,29260900,0
2017-06-30,JPM,9,0,226.0,91.58000183105469,72.88335953689796,16892700,2082.5900344848633
2017-06-30,COST,0,123.0,0,159.6649932861328,32.44105622096414,4755100,0
2017-07-05,SLB,9,0,256.0,66.29999923706055,38.813158372277854,8872900,-1719.0400390625
2017-07-05,WEC,0,318.0,0,60.845001220703125,30.98958301632952,1152100,0
2017-07-13,VZ,9,0,404.0,43.290000915527344,34.75671171224924,12140500,-1242.2995376586914
2017-07-13,CL,0,266.0,0,72.18999862670898,26.94483074576499,3913500,0
2017-07-18,T,0,0,489.0,36.14999961853027,28.24943279756961,29145900,-1095.3608207702637
2017-07-18,SO,0,411.0,0,47.01999855041504,27.02476635399853,4916700,0
2017-07-20,IBM,9,0,115.0,147.93000030517578,31.422364727775133,7212200,-1444.9752807617188
2017-07-20,CMG,0,48.0,0,364.8349914550781,13.803755762009317,4454800,0
2017-07-28,PSA,9,0,88.0,200.5800018310547,42.4942606602858,1490300,-676.7195434570312
2017-07-28,UNP,0,173.0,0,102.4000015258789,37.28646194135889,4471000,0
2017-07-31,ALXN,9,0,193.0,137.17000579833984,71.61027408088815,1709871,7596.490425109863
2017-07-31,SBUX,0,375.0,0,54.31500053405762,27.61047769374747,20299400,0
2017-08-02,INTC,9,0,518.0,36.364999771118164,72.95307974309678,35004300,1056.720474243164
2017-08-02,MDT,0,237.0,0,83.29500198364258,28.68685174933003,4909500,0
2017-08-09,WEC,9,0,318.0,64.63500213623047,66.53620265721833,1736700,1205.2202911376953
2017-08-09,DHR,0,249.0,0,80.3499984741211,32.27734729681539,2666500,0
2017-09-11,SO,9,0,411.0,50.29999923706055,72.96264859799031,5297700,1348.0802822113037
2017-09-11,DIS,0,205.0,0,97.48999786376953,27.69602246921052,9610300,0
2017-09-11,DHR,9,0,249.0,87.0099983215332,75.66679125358539,2630600,1658.3399620056152
2017-09-11,T,0,502.0,0,35.65999984741211,28.489872759155276,23048800,0
2017-09-15,UNP,9,0,173.0,112.25500106811523,76.56033056902226,8269900,1704.9149208068848
2017-09-15,MO,0,323.0,0,62.20000076293945,32.03764075066738,16567300,0
2017-09-26,CMG,9,0,48.0,322.4250030517578,51.83465049025776,807900,-2035.679443359375
2017-09-26,FB,0,122.0,0,164.13999938964844,38.199577786851314,23363300,0
2017-10-10,MDT,9,0,237.0,77.14500045776367,36.41680900094084,7244100,-1457.5503616333008
2017-10-10,CVS,0,274.0,0,74.3650016784668,30.79591606755953,10715900,0
