Date,Open,High,Low,Close,Adj Close,Volume,Up Move,Down Move,Average Up,Average Down,Relative Strength,RSI
4/12/2017,234.7400055,234.9600067,233.7700043,234.0299988,216.57164,81864400,0,1.029998779,0.27656916,0.365398934,0.756896462,43.0814495
4/13/2017,233.6399994,234.4900055,232.5099945,232.5099945,215.1650696,92880400,0,1.520004272,0.25681422,0.447870743,0.573411467,36.44383424
4/17/2017,233.1100006,234.5700073,232.8800049,234.5700073,217.0713959,68405400,2.060012817,0,0.38561412,0.415879976,0.927224541,48.11191022
4/18/2017,233.7200012,234.4900055,233.0800018,233.8699951,216.4235992,83225800,0,0.700012207,0.358070254,0.436175135,0.820932293,45.08307619
4/19/2017,234.5200043,234.9499969,233.1799927,233.4400024,216.0256958,68699900,0,0.429992676,0.332493807,0.435733531,0.763066837,43.28065284
4/20/2017,234.1499939,235.8500061,233.7799988,235.3399963,217.7839508,92572200,1.899993896,0,0.4444581,0.404609708,1.098486001,52.34659657
4/21/2017,235.25,235.3099976,234.1300049,234.5899963,217.0898743,110389800,0,0.75,0.412711092,0.429280443,0.961402038,49.01606194
4/24/2017,237.1799927,237.4100037,234.5599976,237.1699982,219.4774323,119209900,2.580001831,0,0.567517574,0.398617554,1.423714455,58.74101432
4/25/2017,237.9100037,238.9499969,237.8099976,238.5500031,220.7544861,76698300,1.380004883,0,0.625552382,0.370144871,1.690020394,62.82556064
4/26/2017,238.5099945,239.5299988,238.3500061,238.3999939,220.6156769,84702500,0,0.150009155,0.580870069,0.354420892,1.638927281,62.10581447
4/27/2017,238.7700043,238.9499969,237.9799957,238.6000061,220.8007202,57410300,0.200012207,0,0.553665936,0.329105114,1.682337686,62.71908622
4/28/2017,238.8999939,238.9299927,237.9299927,238.0800018,220.3195648,63532800,0,0.520004272,0.514118369,0.342740768,1.500021056,60.0003369
5/1/2017,238.6799927,239.1699982,238.1999969,238.6799927,220.8747711,66882500,0.599990845,0,0.520252117,0.318259285,1.634680094,62.04472784
5/2/2017,238.8399963,238.9799957,238.3000031,238.7700043,220.9580688,57375700,0.090011597,0,0.489520651,0.295526479,1.656435842,62.35557493
5/3/2017,238.7700043,238.8800049,237.6999969,238.4799957,220.6896973,73137700,0,0.290008545,0.45455489,0.29513234,1.540173096,60.63260407
5/4/2017,238.8300018,238.9199982,237.7799988,238.7599945,220.9487915,61462700,0.279998779,0,0.442086597,0.274051459,1.613151773,61.73203522
